OBJECTID,SITE_ID,NAME,ADDRESS,DEPT,PROGRAM,PROGRAM_NO,ASSGNBYDON,URL,NUMPLOTS,DATE_ESTAB,SE_ANNO_CAD_DATA,SIZE_SQFT,IN_ROW,LOCATION,AFFILIATION,AFFILIATION_URL,x,y
75,84,Lake City Court Garden,12536 33rd Ave NE,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/lake-city-court,22,2012,System.Byte[],3000,No,33rd Ave NE / NE 125th St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/lake-city-court,1281425.09446098,266016.205636457
76,67,NewHolly Youth and Family,32nd Ave S / S Brighton St,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-youth-and-family,46,1999,System.Byte[],10500,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1280517.10815604,201021.297217906
77,59,Rainier Vista Dakota West,2902 S Dakota St,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainier-vista-dakota-garden,36,2008,System.Byte[],8461,No,S Lilac St / M L King Jr Way S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/rainier-vista,1278878.17797837,210201.078219295
78,71,Hillside Garden,2570 M L King Jr Way S,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hillside-garden,0,2001,System.Byte[],8000,No,M L King Jr Way S / S McClellan St,Affordable Housing Resident Priority Given,http://www.mtbakerhousing.org/MtBakerVillage/,1279445.12505095,214642.734223843
79,92,Hoa Mai,221 10th Ave S,SHA,P-Patch (public),,,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/hoa-mai,20,2017,System.Byte[],3045,No,S Washington St / 10th Ave S,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/yesler,1273638.854901,222556.591767952
80,64,NewHolly Lucky Garden,2930 S Holly St,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-lucky-garden,9,2001,System.Byte[],2000,No,Shaffer Ave S / S Holly St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1279536.32313104,201462.531522349
81,70,High Point Commons Garden,SW Graham St & 31st Ave SW,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/high-point-commons-garden,46,2009,System.Byte[],5269,No,,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/high-point,1260335.26851939,203195.369988129
82,63,NewHolly Rockery Community/Market Garden,7409 40th Ave S,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/new-holly-rockery,19,2005,System.Byte[],23000,No,S Holly Park Dr  / S 40th St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/newholly,1282562.85375814,198678.199295506
83,58,Rainier Vista Snoqualmie Garden,4522 29th Ave S,SHA,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/rainier-vista-snoqualmie,18,2006,System.Byte[],1569,No,29th Ave S / S Snoqualmie St,Seattle Housing Authority Resident Priority Given,https://www.seattlehousing.org/properties/rainier-vista,1279587.98789909,208332.649161384
84,79,Leo Street,5100 S Leo St,Private,P-Patch (public),1,1,http://www.seattle.gov/neighborhoods/programs-and-services/p-patch-community-gardening/p-patch-list/leo-street,43,2012,System.Byte[],2400,No,51st Ave S / S Leo St,,,1285514.39116916,186709.907891244
85,93,Hinoki,110 10th Ave S,SHA,P-Patch (public),,,https://www.seattle.gov/neighborhoods/p-patch-gardening/garden-list/hinoki,12,2023,System.Byte[],,No,10th Ave S / S Washington St,Seattle Housing Authority Resident Priority Given,"https://www.seattlehousing.org/housing/sha-housing/property/hinoki
",1273952.19083732,222774.308376178
86,94,Beyers' Bulldog Garden,4807 54th Ave SW,DON,P-Patch (public),,,https://www.seattle.gov/neighborhoods/p-patch-gardening/garden-list/beyers-bulldog,,2025,System.Byte[],5700,No,SW Edmunds St / 54th Ave SW,,,1253256.22108813,207975.499081016
